en,fr,it,de,es,ko,kana,jp
Quick Draw,Thermodynamique,Colpolesto,Schnellschuss,Mano Rápida,퀵드로,クイックドロウ,Tir Vif
Unseen Fist,Sel Purificateur,Pugni Invisibili,Verborgene Faust,Puño Invisible,보이지않는주먹,ふかしのこぶし,Poing Invisible
Curious Medicine,Dépôt Toxique,Stranofarmaco,Kuriose Arznei,Medicina Extraña,기묘한약,きみょうなくすり,Breuvage Suspect
Transistor,Général Suprême,Transistor,Transistor,Transistor,트랜지스터,トランジスタ,Transistor
Dragon’s Maw,Incisif,Dragomascelle,Drachenkiefer,Mandíbula Dragón,용의턱,りゅうのあぎと,Dent de Dragon
Chilling Neigh,Semencier,Nitrito Bianco,Helles Wiehern,Relincho Blanco,백의울음,しろのいななき,Blanche Ruade
Grim Neigh,Courroupace Prime,Nitrito Nero,Dunkles Wiehern,Relincho Negro,흑의울음,くろのいななき,Sombre Ruade
As One,Aéroporté,Sintonia Equina,Reitgespann,Unidad Ecuestre,혼연일체,じんばいったい,Osmose Équine
As One,Grecharge,Sintonia Equina,Reitgespann,Unidad Ecuestre,혼연일체,じんばいったい,Osmose Équine
Ruminant,Ruminant,Ruminant,Ruminant,Ruminant,Ruminant,Ruminant,Ruminant
Armure Caudale,Armure Caudale,Armure Caudale,Armure Caudale,Armure Caudale,Armure Caudale,Armure Caudale,Armure Caudale
Touche Sommeil,Touche Hypnose,Touche Sommeil,Touche Sommeil,Touche Sommeil,Touche Sommeil,Touche Sommeil,Touche Sommeil
Écailles Glacées,Écailles Glacées,Écailles Glacées,Écailles Glacées,Écailles Glacées,Écailles Glacées,Écailles Glacées,Écailles Glacées
Armure Miroir,Armure Miroir,Armure Miroir,Armure Miroir,Armure Miroir,Armure Miroir,Armure Miroir,Armure Miroir
Forêt Épaisse,Forêt Épaisse,Forêt Épaisse,Forêt Épaisse,Forêt Épaisse,Forêt Épaisse,Forêt Épaisse,Forêt Épaisse
Désespoir Ultime,Désespoir Ultime,Désespoir Ultime,Désespoir Ultime,Désespoir Ultime,Désespoir Ultime,Désespoir Ultime,Désespoir Ultime
Créa-Vide,Extension Du Territoire,Créa-Vide,Créa-Vide,Créa-Vide,Créa-Vide,Créa-Vide,Créa-Vide
Propulseur,Propulseur,Propulseur,Propulseur,Propulseur,Propulseur,Propulseur,Propulseur
Mûrissement,Mûrissement,Mûrissement,Mûrissement,Mûrissement,Mûrissement,Mûrissement,Mûrissement
Para-Obscur,Anti-Noir,Para-Obscur,Para-Obscur,Para-Obscur,Para-Obscur,Para-Obscur,Para-Obscur
Bond Rapide,Bond Rapide,Bond Rapide,Bond Rapide,Bond Rapide,Bond Rapide,Bond Rapide,Bond Rapide
Esprit Ardent,Esprit Ardent,Esprit Ardent,Esprit Ardent,Esprit Ardent,Esprit Ardent,Esprit Ardent,Esprit Ardent
Cacophonie,Cacophonie,Cacophonie,Cacophonie,Cacophonie,Cacophonie,Cacophonie,Cacophonie
11/09,11/09,11/09,11/09,11/09,11/09,11/09,11/09
